<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SANDP-500,D,08/02/21,00:00:00,3915.5900000
SANDP-500,D,09/02/21,00:00:00,3911.2300000
SANDP-500,D,10/02/21,00:00:00,3909.8800000
SANDP-500,D,11/02/21,00:00:00,3916.3800000
SANDP-500,D,12/02/21,00:00:00,3934.8300000
SANDP-500,D,16/02/21,00:00:00,3932.5900000
SANDP-500,D,17/02/21,00:00:00,3931.3300000
SANDP-500,D,18/02/21,00:00:00,3913.9700000
SANDP-500,D,19/02/21,00:00:00,3906.7100000
SANDP-500,D,22/02/21,00:00:00,3876.5000000
SANDP-500,D,23/02/21,00:00:00,3881.3700000
SANDP-500,D,24/02/21,00:00:00,3925.4300000
SANDP-500,D,25/02/21,00:00:00,3829.3400000
SANDP-500,D,26/02/21,00:00:00,3811.1500000
SANDP-500,D,01/03/21,00:00:00,3901.8200000
SANDP-500,D,02/03/21,00:00:00,3870.2900000
SANDP-500,D,03/03/21,00:00:00,3819.7200000
SANDP-500,D,04/03/21,00:00:00,3768.4700000
SANDP-500,D,05/03/21,00:00:00,3841.9400000
SANDP-500,D,08/03/21,00:00:00,3821.3500000
SANDP-500,D,09/03/21,00:00:00,3875.4400000
SANDP-500,D,10/03/21,00:00:00,3898.8100000
SANDP-500,D,11/03/21,00:00:00,3939.3400000
SANDP-500,D,12/03/21,00:00:00,3943.3400000
SANDP-500,D,15/03/21,00:00:00,3968.9400000
SANDP-500,D,16/03/21,00:00:00,3962.7100000
SANDP-500,D,17/03/21,00:00:00,3974.1200000
SANDP-500,D,18/03/21,00:00:00,3915.4600000
SANDP-500,D,19/03/21,00:00:00,3913.1000000
SANDP-500,D,22/03/21,00:00:00,3940.5900000
SANDP-500,D,23/03/21,00:00:00,3910.5200000
SANDP-500,D,24/03/21,00:00:00,3889.1400000
SANDP-500,D,25/03/21,00:00:00,3909.5200000
SANDP-500,D,26/03/21,00:00:00,3974.5400000
SANDP-500,D,29/03/21,00:00:00,3971.0900000
SANDP-500,D,30/03/21,00:00:00,3958.5500000
SANDP-500,D,31/03/21,00:00:00,3972.8900000
SANDP-500,D,01/04/21,00:00:00,4019.8700000
SANDP-500,D,05/04/21,00:00:00,4077.9100000
SANDP-500,D,06/04/21,00:00:00,4073.9400000
SANDP-500,D,07/04/21,00:00:00,4079.9500000
SANDP-500,D,08/04/21,00:00:00,4097.1700000
SANDP-500,D,09/04/21,00:00:00,4128.8000000
SANDP-500,D,12/04/21,00:00:00,4127.9900000
SANDP-500,D,13/04/21,00:00:00,4141.5900000
SANDP-500,D,14/04/21,00:00:00,4124.6600000
SANDP-500,D,15/04/21,00:00:00,4170.4200000
SANDP-500,D,16/04/21,00:00:00,4185.4700000
SANDP-500,D,19/04/21,00:00:00,4163.2600000
SANDP-500,D,20/04/21,00:00:00,4134.9400000
SANDP-500,D,21/04/21,00:00:00,4173.4200000
SANDP-500,D,22/04/21,00:00:00,4134.9800000
SANDP-500,D,23/04/21,00:00:00,4180.1700000
SANDP-500,D,26/04/21,00:00:00,4187.6200000
SANDP-500,D,27/04/21,00:00:00,4186.7200000
SANDP-500,D,28/04/21,00:00:00,4183.1800000
SANDP-500,D,29/04/21,00:00:00,4211.4700000
SANDP-500,D,30/04/21,00:00:00,4181.1700000
SANDP-500,D,03/05/21,00:00:00,4192.6600000
SANDP-500,D,04/05/21,00:00:00,4164.6600000
SANDP-500,D,05/05/21,00:00:00,4167.5900000
SANDP-500,D,06/05/21,00:00:00,4201.6200000
SANDP-500,D,07/05/21,00:00:00,4232.6000000
SANDP-500,D,10/05/21,00:00:00,4188.4300000
SANDP-500,D,11/05/21,00:00:00,4152.1000000
SANDP-500,D,12/05/21,00:00:00,4063.0400000
SANDP-500,D,13/05/21,00:00:00,4112.5000000
SANDP-500,D,14/05/21,00:00:00,4173.8500000
SANDP-500,D,17/05/21,00:00:00,4163.2900000
SANDP-500,D,18/05/21,00:00:00,4127.8300000
SANDP-500,D,19/05/21,00:00:00,4115.6800000
SANDP-500,D,20/05/21,00:00:00,4159.1200000
SANDP-500,D,21/05/21,00:00:00,4155.8600000
SANDP-500,D,24/05/21,00:00:00,4197.0500000
SANDP-500,D,25/05/21,00:00:00,4188.1300000
SANDP-500,D,26/05/21,00:00:00,4195.9900000
SANDP-500,D,27/05/21,00:00:00,4200.8800000
SANDP-500,D,28/05/21,00:00:00,4204.1100000
SANDP-500,D,01/06/21,00:00:00,4202.0400000
SANDP-500,D,02/06/21,00:00:00,4208.1200000
SANDP-500,D,03/06/21,00:00:00,4192.8500000
SANDP-500,D,04/06/21,00:00:00,4229.8900000
SANDP-500,D,07/06/21,00:00:00,4226.5200000
SANDP-500,D,08/06/21,00:00:00,4227.2600000
SANDP-500,D,09/06/21,00:00:00,4219.5500000
SANDP-500,D,10/06/21,00:00:00,4239.1800000
SANDP-500,D,11/06/21,00:00:00,4247.4400000
SANDP-500,D,14/06/21,00:00:00,4255.1500000
SANDP-500,D,15/06/21,00:00:00,4246.5900000
SANDP-500,D,16/06/21,00:00:00,4223.7000000
SANDP-500,D,17/06/21,00:00:00,4221.8600000
SANDP-500,D,18/06/21,00:00:00,4166.4500000
SANDP-500,D,21/06/21,00:00:00,4224.7900000
SANDP-500,D,22/06/21,00:00:00,4246.4400000
SANDP-500,D,23/06/21,00:00:00,4241.8400000
SANDP-500,D,24/06/21,00:00:00,4266.4900000
SANDP-500,D,25/06/21,00:00:00,4280.7000000
SANDP-500,D,28/06/21,00:00:00,4290.6100000
SANDP-500,D,29/06/21,00:00:00,4291.8000000
SANDP-500,D,30/06/21,00:00:00,4297.5000000
SANDP-500,D,01/07/21,00:00:00,4319.9400000
SANDP-500,D,02/07/21,00:00:00,4352.3400000
SANDP-500,D,06/07/21,00:00:00,4343.5400000
SANDP-500,D,07/07/21,00:00:00,4358.1300000
SANDP-500,D,08/07/21,00:00:00,4320.8200000
SANDP-500,D,09/07/21,00:00:00,4369.5500000
SANDP-500,D,12/07/21,00:00:00,4384.6300000
SANDP-500,D,13/07/21,00:00:00,4369.2100000
SANDP-500,D,14/07/21,00:00:00,4374.3000000
SANDP-500,D,15/07/21,00:00:00,4360.0300000
SANDP-500,D,16/07/21,00:00:00,4327.1600000
SANDP-500,D,19/07/21,00:00:00,4258.4900000
SANDP-500,D,20/07/21,00:00:00,4323.0600000
SANDP-500,D,21/07/21,00:00:00,4358.6900000
SANDP-500,D,22/07/21,00:00:00,4367.4800000
SANDP-500,D,23/07/21,00:00:00,4411.7900000
SANDP-500,D,26/07/21,00:00:00,4422.3000000
SANDP-500,D,27/07/21,00:00:00,4401.4600000
SANDP-500,D,28/07/21,00:00:00,4400.6400000
SANDP-500,D,29/07/21,00:00:00,4419.1500000
SANDP-500,D,30/07/21,00:00:00,4395.2600000
SANDP-500,D,02/08/21,00:00:00,4387.1600000
SANDP-500,D,03/08/21,00:00:00,4423.1500000
SANDP-500,D,04/08/21,00:00:00,4402.6600000
SANDP-500,D,05/08/21,00:00:00,4429.1000000
SANDP-500,D,06/08/21,00:00:00,4436.5200000
SANDP-500,D,09/08/21,00:00:00,4432.3500000
SANDP-500,D,10/08/21,00:00:00,4436.7500000
SANDP-500,D,11/08/21,00:00:00,4447.7000000
SANDP-500,D,12/08/21,00:00:00,4460.8300000
SANDP-500,D,13/08/21,00:00:00,4468.0000000
SANDP-500,D,16/08/21,00:00:00,4479.7100000
SANDP-500,D,17/08/21,00:00:00,4448.0800000
SANDP-500,D,18/08/21,00:00:00,4400.2700000
SANDP-500,D,19/08/21,00:00:00,4405.8000000
SANDP-500,D,20/08/21,00:00:00,4441.6700000
SANDP-500,D,23/08/21,00:00:00,4479.5300000
SANDP-500,D,24/08/21,00:00:00,4486.2300000
SANDP-500,D,25/08/21,00:00:00,4496.1900000
SANDP-500,D,26/08/21,00:00:00,4470.0000000
SANDP-500,D,27/08/21,00:00:00,4509.3700000
SANDP-500,D,30/08/21,00:00:00,4528.7900000
SANDP-500,D,31/08/21,00:00:00,4522.6800000
SANDP-500,D,01/09/21,00:00:00,4524.0900000
SANDP-500,D,02/09/21,00:00:00,4536.9500000
SANDP-500,D,03/09/21,00:00:00,4535.4300000
SANDP-500,D,07/09/21,00:00:00,4520.0300000
SANDP-500,D,08/09/21,00:00:00,4514.0700000
SANDP-500,D,09/09/21,00:00:00,4493.2800000
SANDP-500,D,10/09/21,00:00:00,4458.5800000
SANDP-500,D,13/09/21,00:00:00,4468.7300000
SANDP-500,D,14/09/21,00:00:00,4443.0500000
SANDP-500,D,15/09/21,00:00:00,4480.7000000
SANDP-500,D,16/09/21,00:00:00,4473.7500000
SANDP-500,D,17/09/21,00:00:00,4432.9900000
SANDP-500,D,20/09/21,00:00:00,4357.7300000
SANDP-500,D,21/09/21,00:00:00,4354.1900000
SANDP-500,D,22/09/21,00:00:00,4395.6400000
SANDP-500,D,23/09/21,00:00:00,4448.9800000
SANDP-500,D,24/09/21,00:00:00,4455.4800000
SANDP-500,D,27/09/21,00:00:00,4443.1100000
SANDP-500,D,28/09/21,00:00:00,4352.6300000
SANDP-500,D,29/09/21,00:00:00,4359.4600000
SANDP-500,D,30/09/21,00:00:00,4307.5400000
SANDP-500,D,01/10/21,00:00:00,4357.0400000
SANDP-500,D,04/10/21,00:00:00,4300.4600000
SANDP-500,D,05/10/21,00:00:00,4345.7200000
SANDP-500,D,06/10/21,00:00:00,4363.5500000
SANDP-500,D,07/10/21,00:00:00,4399.7600000
SANDP-500,D,08/10/21,00:00:00,4391.3400000
SANDP-500,D,11/10/21,00:00:00,4361.1900000
SANDP-500,D,12/10/21,00:00:00,4350.6500000
SANDP-500,D,13/10/21,00:00:00,4363.8000000
SANDP-500,D,14/10/21,00:00:00,4438.2600000
SANDP-500,D,15/10/21,00:00:00,4471.3700000
SANDP-500,D,18/10/21,00:00:00,4486.4600000
SANDP-500,D,19/10/21,00:00:00,4519.6300000
SANDP-500,D,20/10/21,00:00:00,4536.1900000
SANDP-500,D,21/10/21,00:00:00,4549.7800000
SANDP-500,D,22/10/21,00:00:00,4544.9000000
SANDP-500,D,25/10/21,00:00:00,4566.4800000
SANDP-500,D,26/10/21,00:00:00,4574.7900000
SANDP-500,D,27/10/21,00:00:00,4551.6800000
SANDP-500,D,28/10/21,00:00:00,4596.4200000
SANDP-500,D,29/10/21,00:00:00,4605.3800000
SANDP-500,D,01/11/21,00:00:00,4613.6700000
SANDP-500,D,02/11/21,00:00:00,4630.6500000
SANDP-500,D,03/11/21,00:00:00,4660.5700000
SANDP-500,D,04/11/21,00:00:00,4680.0600000
SANDP-500,D,05/11/21,00:00:00,4697.5300000
SANDP-500,D,08/11/21,00:00:00,4701.7000000
SANDP-500,D,09/11/21,00:00:00,4685.2500000
SANDP-500,D,10/11/21,00:00:00,4646.7100000
SANDP-500,D,11/11/21,00:00:00,4649.2700000
SANDP-500,D,12/11/21,00:00:00,4682.8500000
SANDP-500,D,15/11/21,00:00:00,4682.8000000
SANDP-500,D,16/11/21,00:00:00,4700.9000000
SANDP-500,D,17/11/21,00:00:00,4688.6700000
SANDP-500,D,18/11/21,00:00:00,4704.5400000
SANDP-500,D,19/11/21,00:00:00,4697.9600000
SANDP-500,D,22/11/21,00:00:00,4682.9400000
SANDP-500,D,23/11/21,00:00:00,4690.7000000
SANDP-500,D,24/11/21,00:00:00,4701.4600000
SANDP-500,D,26/11/21,00:00:00,4594.6200000
SANDP-500,D,29/11/21,00:00:00,4655.2700000
