<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
LME.Lead,D,13/07/21,00:00:00,2308.5000000
LME.Lead,D,14/07/21,00:00:00,2290.5000000
LME.Lead,D,15/07/21,00:00:00,2322.2500000
LME.Lead,D,16/07/21,00:00:00,2311.0500000
LME.Lead,D,19/07/21,00:00:00,2281.5000000
LME.Lead,D,20/07/21,00:00:00,2341.2500000
LME.Lead,D,21/07/21,00:00:00,2354.0000000
LME.Lead,D,22/07/21,00:00:00,2387.0000000
LME.Lead,D,23/07/21,00:00:00,2413.5000000
LME.Lead,D,26/07/21,00:00:00,2411.2500000
LME.Lead,D,27/07/21,00:00:00,2365.2500000
LME.Lead,D,28/07/21,00:00:00,2373.0000000
LME.Lead,D,29/07/21,00:00:00,2401.0000000
LME.Lead,D,30/07/21,00:00:00,2414.7500000
LME.Lead,D,02/08/21,00:00:00,2439.0800000
LME.Lead,D,03/08/21,00:00:00,2438.4900000
LME.Lead,D,04/08/21,00:00:00,2440.0000000
LME.Lead,D,05/08/21,00:00:00,2401.5000000
LME.Lead,D,06/08/21,00:00:00,2297.6000000
LME.Lead,D,09/08/21,00:00:00,2269.7500000
LME.Lead,D,10/08/21,00:00:00,2316.2500000
LME.Lead,D,11/08/21,00:00:00,2371.7500000
LME.Lead,D,12/08/21,00:00:00,2355.0000000
LME.Lead,D,13/08/21,00:00:00,2427.4000000
LME.Lead,D,16/08/21,00:00:00,2432.0000000
LME.Lead,D,17/08/21,00:00:00,2447.5000000
LME.Lead,D,18/08/21,00:00:00,2494.0000000
LME.Lead,D,19/08/21,00:00:00,2468.0000000
LME.Lead,D,20/08/21,00:00:00,2447.5000000
LME.Lead,D,23/08/21,00:00:00,2462.2500000
LME.Lead,D,24/08/21,00:00:00,2452.5000000
LME.Lead,D,25/08/21,00:00:00,2469.0000000
LME.Lead,D,26/08/21,00:00:00,2443.5000000
LME.Lead,D,27/08/21,00:00:00,2444.7500000
LME.Lead,D,31/08/21,00:00:00,2386.0000000
LME.Lead,D,01/09/21,00:00:00,2396.7500000
LME.Lead,D,02/09/21,00:00:00,2419.0000000
LME.Lead,D,03/09/21,00:00:00,2399.5000000
LME.Lead,D,06/09/21,00:00:00,2357.0000000
LME.Lead,D,07/09/21,00:00:00,2337.5000000
LME.Lead,D,08/09/21,00:00:00,2328.0000000
LME.Lead,D,09/09/21,00:00:00,2336.0000000
LME.Lead,D,10/09/21,00:00:00,2338.5000000
LME.Lead,D,13/09/21,00:00:00,2295.2500000
LME.Lead,D,14/09/21,00:00:00,2275.0000000
LME.Lead,D,15/09/21,00:00:00,2237.7500000
LME.Lead,D,16/09/21,00:00:00,2202.7500000
LME.Lead,D,17/09/21,00:00:00,2175.0000000
LME.Lead,D,20/09/21,00:00:00,2154.2500000
LME.Lead,D,21/09/21,00:00:00,2133.2500000
LME.Lead,D,22/09/21,00:00:00,2124.7500000
LME.Lead,D,23/09/21,00:00:00,2131.5000000
LME.Lead,D,24/09/21,00:00:00,2169.2500000
LME.Lead,D,27/09/21,00:00:00,2182.8000000
LME.Lead,D,28/09/21,00:00:00,2191.7500000
LME.Lead,D,29/09/21,00:00:00,2157.0000000
LME.Lead,D,30/09/21,00:00:00,2120.0000000
LME.Lead,D,01/10/21,00:00:00,2182.5000000
LME.Lead,D,04/10/21,00:00:00,2187.0000000
LME.Lead,D,05/10/21,00:00:00,2194.5000000
LME.Lead,D,06/10/21,00:00:00,2188.7500000
LME.Lead,D,07/10/21,00:00:00,2220.5000000
LME.Lead,D,08/10/21,00:00:00,2275.2500000
LME.Lead,D,11/10/21,00:00:00,2279.3300000
LME.Lead,D,12/10/21,00:00:00,2253.0000000
LME.Lead,D,13/10/21,00:00:00,2310.2500000
LME.Lead,D,14/10/21,00:00:00,2348.6500000
LME.Lead,D,15/10/21,00:00:00,2396.0000000
LME.Lead,D,18/10/21,00:00:00,2435.5000000
LME.Lead,D,19/10/21,00:00:00,2400.5000000
LME.Lead,D,20/10/21,00:00:00,2453.5000000
LME.Lead,D,21/10/21,00:00:00,2428.0000000
LME.Lead,D,22/10/21,00:00:00,2461.7500000
LME.Lead,D,25/10/21,00:00:00,2469.0000000
LME.Lead,D,26/10/21,00:00:00,2458.0000000
LME.Lead,D,27/10/21,00:00:00,2419.7500000
LME.Lead,D,28/10/21,00:00:00,2460.7500000
LME.Lead,D,29/10/21,00:00:00,2419.0000000
LME.Lead,D,01/11/21,00:00:00,2408.0000000
LME.Lead,D,02/11/21,00:00:00,2395.0000000
LME.Lead,D,03/11/21,00:00:00,2401.2500000
LME.Lead,D,04/11/21,00:00:00,2373.5000000
LME.Lead,D,05/11/21,00:00:00,2371.5000000
LME.Lead,D,08/11/21,00:00:00,2385.0000000
LME.Lead,D,09/11/21,00:00:00,2358.5000000
LME.Lead,D,10/11/21,00:00:00,2363.5000000
LME.Lead,D,11/11/21,00:00:00,2396.5000000
LME.Lead,D,12/11/21,00:00:00,2389.0000000
LME.Lead,D,15/11/21,00:00:00,2354.0000000
LME.Lead,D,16/11/21,00:00:00,2315.0000000
LME.Lead,D,17/11/21,00:00:00,2248.0000000
LME.Lead,D,18/11/21,00:00:00,2209.5000000
LME.Lead,D,19/11/21,00:00:00,2218.0000000
